2024-09-10 02:03:17 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800079.docx已成功创建！
2024-09-10 02:03:17 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800080.docx已成功创建！
2024-09-10 02:03:17 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800081.docx已成功创建！
2024-09-10 02:03:17 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800082.docx已成功创建！
2024-09-10 02:03:17 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800083.docx已成功创建！
2024-09-10 02:03:17 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800084.docx已成功创建！
2024-09-10 02:03:17 | ERROR    | __main__:create_reports:51 - 创建检测报告时发生错误！错误信息：[Errno 13] Permission denied: 'E:\\测试报告\\240800085.docx'
2024-09-10 02:03:17 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800086.docx已成功创建！
2024-09-10 02:03:17 | ERROR    | __main__:update_report_ids:127 - 文件数量与列表长度不匹配！
2024-09-10 02:03:21 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800079.docx已成功创建！
2024-09-10 02:03:21 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800080.docx已成功创建！
2024-09-10 02:03:21 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800081.docx已成功创建！
2024-09-10 02:03:21 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800082.docx已成功创建！
2024-09-10 02:03:21 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800083.docx已成功创建！
2024-09-10 02:03:21 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800084.docx已成功创建！
2024-09-10 02:03:21 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800085.docx已成功创建！
2024-09-10 02:03:21 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800086.docx已成功创建！
2024-09-10 02:03:22 | SUCCESS  | __main__:update_report_ids:158 - 文件 E:\测试报告\240800079.docx 中的所有数据已成功修改!
2024-09-10 02:03:23 | SUCCESS  | __main__:update_report_ids:158 - 文件 E:\测试报告\240800080.docx 中的所有数据已成功修改!
2024-09-10 02:03:24 | SUCCESS  | __main__:update_report_ids:158 - 文件 E:\测试报告\240800081.docx 中的所有数据已成功修改!
2024-09-10 02:03:25 | SUCCESS  | __main__:update_report_ids:158 - 文件 E:\测试报告\240800082.docx 中的所有数据已成功修改!
2024-09-10 02:03:26 | SUCCESS  | __main__:update_report_ids:158 - 文件 E:\测试报告\240800083.docx 中的所有数据已成功修改!
2024-09-10 02:03:27 | SUCCESS  | __main__:update_report_ids:158 - 文件 E:\测试报告\240800084.docx 中的所有数据已成功修改!
2024-09-10 02:03:28 | SUCCESS  | __main__:update_report_ids:158 - 文件 E:\测试报告\240800085.docx 中的所有数据已成功修改!
2024-09-10 02:03:29 | SUCCESS  | __main__:update_report_ids:158 - 文件 E:\测试报告\240800086.docx 中的所有数据已成功修改!
2024-09-10 02:05:04 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800079.docx已成功创建！
2024-09-10 02:05:04 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800080.docx已成功创建！
2024-09-10 02:05:04 | ERROR    | __main__:create_reports:51 - 创建检测报告时发生错误！错误信息：[Errno 13] Permission denied: 'E:\\测试报告\\240800081.docx'
2024-09-10 02:05:04 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\测试报告\240800082.docx已成功创建！
