2024-09-10 15:23:33 | ERROR    | __main__:load_data:223 - 数据加载错误！错误信息：'代表批量（m3）'
2024-09-10 15:23:33 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100750.docx已成功创建！
2024-09-10 15:23:33 | ERROR    | __main__:update_report:124 - 文件数量与列表长度不匹配！
2024-09-10 15:24:25 | SUCCESS  | __main__:load_data:220 - 数据加载成功！
2024-09-10 15:24:25 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100750.docx已成功创建！
2024-09-10 15:24:25 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100758.docx已成功创建！
2024-09-10 15:24:25 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100759.docx已成功创建！
2024-09-10 15:24:25 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100760.docx已成功创建！
2024-09-10 15:24:25 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100761.docx已成功创建！
2024-09-10 15:24:25 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100762.docx已成功创建！
2024-09-10 15:24:25 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100769.docx已成功创建！
2024-09-10 15:24:27 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100750.docx 中的所有数据已成功修改!
2024-09-10 15:24:28 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100758.docx 中的所有数据已成功修改!
2024-09-10 15:24:29 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100759.docx 中的所有数据已成功修改!
2024-09-10 15:24:30 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100760.docx 中的所有数据已成功修改!
2024-09-10 15:24:31 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100761.docx 中的所有数据已成功修改!
2024-09-10 15:24:32 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100762.docx 中的所有数据已成功修改!
2024-09-10 15:24:34 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100769.docx 中的所有数据已成功修改!
2024-09-10 15:25:20 | SUCCESS  | __main__:load_data:220 - 数据加载成功！
2024-09-10 15:25:20 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100750.docx已成功创建！
2024-09-10 15:25:20 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100758.docx已成功创建！
2024-09-10 15:25:20 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100759.docx已成功创建！
2024-09-10 15:25:20 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100760.docx已成功创建！
2024-09-10 15:25:20 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100761.docx已成功创建！
2024-09-10 15:25:20 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100762.docx已成功创建！
2024-09-10 15:25:20 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100769.docx已成功创建！
2024-09-10 15:25:22 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100750.docx 中的所有数据已成功修改!
2024-09-10 15:25:23 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100758.docx 中的所有数据已成功修改!
2024-09-10 15:25:24 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100759.docx 中的所有数据已成功修改!
2024-09-10 15:25:25 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100760.docx 中的所有数据已成功修改!
2024-09-10 15:25:27 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100761.docx 中的所有数据已成功修改!
2024-09-10 15:25:28 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100762.docx 中的所有数据已成功修改!
2024-09-10 15:25:29 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100769.docx 中的所有数据已成功修改!
2024-09-10 15:25:45 | SUCCESS  | __main__:load_data:220 - 数据加载成功！
2024-09-10 15:25:45 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100750.docx已成功创建！
2024-09-10 15:25:45 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100758.docx已成功创建！
2024-09-10 15:25:45 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100759.docx已成功创建！
2024-09-10 15:25:45 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100760.docx已成功创建！
2024-09-10 15:25:45 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100761.docx已成功创建！
2024-09-10 15:25:45 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100762.docx已成功创建！
2024-09-10 15:25:45 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100769.docx已成功创建！
2024-09-10 15:25:46 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100750.docx 中的所有数据已成功修改!
2024-09-10 15:25:47 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100758.docx 中的所有数据已成功修改!
2024-09-10 15:25:48 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100759.docx 中的所有数据已成功修改!
2024-09-10 15:25:49 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100760.docx 中的所有数据已成功修改!
2024-09-10 15:25:50 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100761.docx 中的所有数据已成功修改!
2024-09-10 15:25:51 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100762.docx 中的所有数据已成功修改!
2024-09-10 15:25:53 | SUCCESS  | __main__:update_report:157 - 文件 E:\检测报告生成\砼试块抗压强度\241100769.docx 中的所有数据已成功修改!
